"Zip","Name","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08"
94109,"Polk/Russian Hill",2886,2873,2847,2854,2851,2888,2878,2897,2917,2987,3015,3106,3202,3392,3503,3531,3539,3532,3582,3668,3766,3834,3886,3849,3757,3679,3641,3664,3726,3802,3846,3828,3781,3743,3790,3811,3834,3847,3874,3892,3920,3962,4019,4031,4024,4016,4110,4171,4212,4263,4352,4442,4509,4523,4540,4602,4702,4776
94110,"Inner Mission/Bernal Heights",2972,3005,2974,2807,2623,2536,2577,2635,2682,2713,2740,2859,2956,3099,3148,3214,3270,3357,3410,3461,3469,3432,3393,3329,3270,3296,3386,3518,3638,3672,3635,3595,3626,3685,3755,3762,3720,3674,3664,3697,3775,3831,3877,3915,3967,4046,4182,4274,4292,4294,4352,4431,4514,4588,4663,4728,4755,4788
94122,"Sunset",2947,2991,2927,2742,2522,2420,2433,2498,2542,2578,2584,2649,2706,2779,2802,2810,2842,2920,3023,3111,3177,3183,3214,3209,3173,3158,3212,3321,3436,3474,3435,3359,3342,3366,3397,3371,3314,3345,3436,3558,3640,3667,3676,3700,3719,3755,3825,3912,3932,3907,3904,3940,4029,4097,4130,4148,4153,4163
94112,"Ingleside/Excelsior",2749,2813,2777,2614,2413,2321,2333,2315,2299,2283,2303,2324,2344,2418,2475,2545,2601,2670,2692,2710,2647,2638,2685,2729,2741,2750,2770,2817,2883,2914,2903,2866,2861,2874,2955,2972,2975,2938,2934,2966,3035,3077,3129,3190,3272,3324,3400,3406,3388,3366,3413,3504,3605,3650,3679,3764,3874,3938
94115,"Western Addition/Japantown",3203,3204,3181,3181,3149,3190,3231,3274,3319,3365,3411,3479,3535,3681,3768,3840,3901,3943,3971,4015,4045,4072,4088,4053,4005,3972,4005,4052,4130,4177,4191,4178,4153,4153,4187,4200,4210,4215,4242,4260,4286,4286,4319,4373,4436,4496,4618,4728,4812,4872,4924,4961,5011,5074,5151,5215,5296,5355
94117,"Haight-Ashbury",3085,3100,3066,2973,2858,2885,2939,2975,2966,3013,3095,3268,3381,3566,3649,3770,3888,3950,3968,3954,3958,3942,4000,3987,3975,3983,4081,4177,4261,4265,4244,4234,4249,4285,4311,4251,4176,4146,4184,4233,4311,4357,4440,4547,4653,4736,4835,4910,4934,4954,4960,4973,4998,5070,5151,5224,5294,5334
94121,"Outer Richmond",3372,3348,3211,3001,2767,2672,2689,2739,2803,2867,2875,2874,2830,2886,2960,3054,3161,3245,3320,3416,3510,3527,3513,3513,3448,3423,3465,3569,3677,3708,3671,3584,3530,3538,3546,3538,3465,3517,3616,3724,3800,3820,3834,3880,3926,4004,4089,4229,4331,4384,4402,4388,4440,4524,4591,4629,4621,4591
94118,"Inner Richmond",3666,3750,3723,3599,3371,3304,3291,3359,3362,3415,3429,3471,3521,3659,3808,3988,4154,4270,4319,4238,4154,3991,4037,4094,4200,4253,4352,4457,4543,4554,4578,4633,4732,4876,4990,4962,4823,4721,4715,4729,4785,4761,4790,4893,5024,5121,5188,5278,5359,5360,5303,5279,5371,5529,5635,5671,5694,5743
94114,"Castro/Noe Valley",3174,3169,3145,3084,3009,3040,3097,3151,3154,3195,3250,3390,3491,3664,3743,3872,4009,4111,4157,4130,4119,4089,4163,4171,4186,4224,4341,4435,4505,4481,4480,4506,4558,4602,4652,4608,4538,4505,4535,4547,4552,4544,4585,4688,4799,4902,4990,5075,5116,5154,5156,5186,5267,5399,5488,5547,5600,5655
94102,"Hayes Valley/Tenderloin",2407,2336,2303,2217,2210,2226,2314,2377,2407,2434,2472,2594,2675,2797,2799,2788,2789,2835,2871,2944,3005,3058,3109,3094,3020,3006,3027,3123,3202,3269,3288,3292,3303,3318,3359,3350,3317,3352,3424,3468,3484,3499,3550,3558,3565,3550,3598,3648,3679,3761,3857,3965,4028,4033,3992,4000,4046,4125
